row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
60,Africa23,2012,Ghana,Africa,6395,https://www.conservationevidence.com/individual-study/6395,2,"Department of Wood Technology, University College of Education, Kumasi Campus, Kumasi, Ghana",Ghana,University,,Africa,6395 2,1
61,Africa24,2017,South Africa,Africa,6266,https://www.conservationevidence.com/individual-study/6266,1,"Endangered Wildlife Trust, P. Bag X11, Modderfontein, 1645, Johannesburg, South Africa",South Africa,NGO,,Africa,6266 1,1
62,Africa24,2017,South Africa,Africa,6266,https://www.conservationevidence.com/individual-study/6266,2,"Centre for Wildlife Management, University of Pretoria, Private bag X20 Hatfield 0028, Pretoria, South Africa",South Africa,University,,Africa,6266 2,0
63,Africa24,2017,South Africa,Africa,6266,https://www.conservationevidence.com/individual-study/6266,3,"Anglo American, 45 Main Street, Johannesburg, 2001, South Africa",South Africa,Private,,Africa,6266 3,1
64,Africa25,2009,Kenya,Africa,7803,https://www.conservationevidence.com/individual-study/7803,1,"Animal Behavior Graduate Group, University of California, Davis, One Shields Ave. Davis, CA 95616, USA",USA,University,,North America,7803 1,1
65,Africa25,2009,Kenya,Africa,7803,https://www.conservationevidence.com/individual-study/7803,2,"Department of Anthropology, University of California, Davis, One Shields Ave. Davis, CA 95616, USA",USA,University,,North America,7803 2,0
66,Africa25,2009,Kenya,Africa,7803,https://www.conservationevidence.com/individual-study/7803,3,"Department of Population Health and Reproduction, University of California, Davis, One Shields Ave. Davis, CA 95616, USA",USA,University,,North America,7803 3,1
67,Africa26,2012,Botswana,Africa,7627,https://www.conservationevidence.com/individual-study/7627,1,"Botswana Predator Conservation Trust, Private Bag 13, Maun, Botswana",Botswana,NGO,,Africa,7627 1,1
68,Africa26,2012,Botswana,Africa,7627,https://www.conservationevidence.com/individual-study/7627,2,"Botswana Predator Conservation Trust, Private Bag 13, Maun, Botswana",Botswana,NGO,,Africa,7627 2,0
69,Africa26,2012,Botswana,Africa,7627,https://www.conservationevidence.com/individual-study/7627,3,"BPCT, Paul G. Allen Laboratory for Wildlife Chemistry, Private Bag 13, Maun, Botswana",Botswana,NGO,,Africa,7627 3,1
70,Africa27,2010,Senegal,Africa,6493,https://www.conservationevidence.com/individual-study/6493,1,"
Department of Anthropology, Iowa State University, Ames, IA USA",USA,University,,North America,6493 1,1
71,Africa27,2010,Senegal,Africa,6493,https://www.conservationevidence.com/individual-study/6493,2,"Fongoli Savanna Chimpanzee Project, Kedougou, Senegal",Senegal,NGO,US registered nonprofit,Africa,6493 2,1
72,Africa28,2010,Botswana,Africa,7981,https://www.conservationevidence.com/individual-study/7981,1,"Leopard Ecology & Conservation, Khutse Game Reserve, Private Bag BR7, Gaborone, Botswana",Botswana,Government,Parastatal corporation,Africa,7981 1,1
73,Africa28,2010,Botswana,Africa,7981,https://www.conservationevidence.com/individual-study/7981,2,"Leopard Ecology & Conservation, Khutse Game Reserve, Private Bag BR7, Gaborone, Botswana",Botswana,Government,,Africa,7981 2,0
74,Africa28,2010,Botswana,Africa,7981,https://www.conservationevidence.com/individual-study/7981,3,"Leopard Ecology & Conservation, Khutse Game Reserve, Private Bag BR7, Gaborone, Botswana",Botswana,Government,,Africa,7981 3,0
75,Africa28,2010,Botswana,Africa,7981,https://www.conservationevidence.com/individual-study/7981,4,"Department of Wildlife and National Parks, PO Box 93, Molepolole, Botswana",Botswana,Government,,Africa,7981 4,0
76,Africa28,2010,Botswana,Africa,7981,https://www.conservationevidence.com/individual-study/7981,5,"Leopard Ecology & Conservation, Khutse Game Reserve, Private Bag BR7, Gaborone, Botswana",Botswana,Government,,Africa,7981 5,1
