rowid,sampid,Lat,Long,Link (URL),Hyperlink,Language,Reference Type,Authors (separate with//),study_year,Journal,Volume,Issue,Pages,study_country,study_continent,authorid,affiliation_country,affiliation_continent,uniqueauthor,lead_author
62,78,28.033887,1.659625,https://www.asjp.cerist.dz/en/article/113810,https://www.asjp.cerist.dz/en/article/113810,Arabic,Review,Laghnej Moubarakat/ Nas Yahya,2020,Afak Ilmia journal,12,2,662-679,Algeria,Africa,2,Egypt,Africa,78 2,1
63,82,11.59636806,2.822826389,https://journals.openedition.org/vertigo/17015,https://journals.openedition.org/vertigo/17015,French,Journal article,Massouroudini Akoudjin // S?bastien Ki?ma // Mamadou Sangare // Jean C?sar // J?r?my Bouyer // Chantal Kabore-Zoungrana,2016,Vertigo,16,1,/,Benin,Africa,1,Burkina Faso,Africa,82 1,1
64,82,11.59636806,2.822826389,https://journals.openedition.org/vertigo/17015,https://journals.openedition.org/vertigo/17015,French,Journal article,Massouroudini Akoudjin // S?bastien Ki?ma // Mamadou Sangare // Jean C?sar // J?r?my Bouyer // Chantal Kabore-Zoungrana,2016,Vertigo,16,1,/,Benin,Africa,2,Burkina Faso,Africa,82 2,0
65,82,11.59636806,2.822826389,https://journals.openedition.org/vertigo/17015,https://journals.openedition.org/vertigo/17015,French,Journal article,Massouroudini Akoudjin // S?bastien Ki?ma // Mamadou Sangare // Jean C?sar // J?r?my Bouyer // Chantal Kabore-Zoungrana,2016,Vertigo,16,1,/,Benin,Africa,3,Burkina Faso,Africa,82 3,0
66,82,11.59636806,2.822826389,https://journals.openedition.org/vertigo/17015,https://journals.openedition.org/vertigo/17015,French,Journal article,Massouroudini Akoudjin // S?bastien Ki?ma // Mamadou Sangare // Jean C?sar // J?r?my Bouyer // Chantal Kabore-Zoungrana,2016,Vertigo,16,1,/,Benin,Africa,4,France,Europe,82 4,0
67,82,11.59636806,2.822826389,https://journals.openedition.org/vertigo/17015,https://journals.openedition.org/vertigo/17015,French,Journal article,Massouroudini Akoudjin // S?bastien Ki?ma // Mamadou Sangare // Jean C?sar // J?r?my Bouyer // Chantal Kabore-Zoungrana,2016,Vertigo,16,1,/,Benin,Africa,5,France,Europe,82 5,0
68,82,11.59636806,2.822826389,https://journals.openedition.org/vertigo/17015,https://journals.openedition.org/vertigo/17015,French,Journal article,Massouroudini Akoudjin // S?bastien Ki?ma // Mamadou Sangare // Jean C?sar // J?r?my Bouyer // Chantal Kabore-Zoungrana,2016,Vertigo,16,1,/,Benin,Africa,6,Burkina Faso,Africa,82 6,1
69,44,11.06865833,32.03426389,https://www.persee.fr/doc/ecmed_0153-8756_2014_num_40_2_1257,https://www.persee.fr/doc/ecmed_0153-8756_2014_num_40_2_1257,French,Journal article,Mohamed Tarhouni // Walid Ben Hmida // Mohamed Neffati,2014,Ecologia Mediterranea,40,2,41-52,Sudan,Africa,1,Tunisia,Africa,44 1,1
70,44,11.06865833,32.03426389,https://www.persee.fr/doc/ecmed_0153-8756_2014_num_40_2_1257,https://www.persee.fr/doc/ecmed_0153-8756_2014_num_40_2_1257,French,Journal article,Mohamed Tarhouni // Walid Ben Hmida // Mohamed Neffati,2014,Ecologia Mediterranea,40,2,41-52,Sudan,Africa,2,Tunisia,Africa,44 2,0
71,44,11.06865833,32.03426389,https://www.persee.fr/doc/ecmed_0153-8756_2014_num_40_2_1257,https://www.persee.fr/doc/ecmed_0153-8756_2014_num_40_2_1257,French,Journal article,Mohamed Tarhouni // Walid Ben Hmida // Mohamed Neffati,2014,Ecologia Mediterranea,40,2,41-52,Sudan,Africa,3,Tunisia,Africa,44 3,1
72,15,33.13583333,0.151944444,https://hal.archives-ouvertes.fr/hal-03530533/,https://hal.archives-ouvertes.fr/hal-03530533/,French,Journal article,Moulay/Benabdeli,2012,Revue d'?cologie,67,3,283-294,Algeria,Africa,1,Algeria,Africa,15 1,1
73,15,33.13583333,0.151944444,https://hal.archives-ouvertes.fr/hal-03530533/,https://hal.archives-ouvertes.fr/hal-03530533/,French,Journal article,Moulay/Benabdeli,2012,Revue d'?cologie,67,3,283-295,Algeria,Africa,2,Algeria,Africa,15 2,1
74,96,10.55555556,32.15,https://www.persee.fr/doc/ecmed_0153-8756_2011_num_37_2_1336,https://www.persee.fr/doc/ecmed_0153-8756_2011_num_37_2_1336,French,Journal article,Mouldi Gamoun // Azaiez Ouled Belgacem // Belgacem Hanchi // Mohamed Neffati,2011,Ecologia Mediterranea,37,2,33-44,South Sudan,Africa,1,Tunisia,Africa,96 1,1
